ClipName,Frame,RootT.x,RootT.z,FootLeftT.x,FootLeftT.z,FootRightT.x,FootRightT.z,FootLeftV.x,FootLeftV.z,FootRightV.x,FootRightV.z,RootV.x,RootV.z,TrajPos.x,TrajPos.z,TrajForward.x,TrajForward.z
Turn45Left,17,-1.726787,11.84722,7.292386,-9.400883,7.601277,-9.555756,-2.762477E-05,0.0006133716,-0.008363978,-0.004949188,-0.007278792,-0.006333001,-1.726787,11.84722,0.5011353,0.8653578
Turn45Left,18,-1.727874,11.86746,7.019033,-9.554634,7.357034,-9.755361,-3.623565E-05,0.0006744703,-0.009111754,-0.005125046,-0.008141438,-0.0066535,-1.727874,11.86746,0.4766191,0.8789181
Turn45Left,19,-1.729211,11.88961,6.672941,-9.731296,7.042028,-9.99583,-4.457633E-05,0.0007383982,-0.01153639,-0.005888716,-0.01050021,-0.008015633,-1.729211,11.88961,0.4460905,0.8943415
Turn45Left,20,-1.730791,11.91376,6.423089,-9.867273,6.807446,-10.17892,-5.266269E-05,0.0008050601,-0.008328406,-0.004532591,-0.007819414,-0.006102975,-1.730791,11.91376,0.4227617,0.9051467
Turn45Left,21,-1.732606,11.94,6.079892,-10.06121,6.47326,-10.43397,-6.047885E-05,0.0008744558,-0.0114399,-0.00646445,-0.01113952,-0.008501752,-1.732606,11.94,0.3898011,0.9193441
Turn45Left,22,-1.734647,11.9684,5.847235,-10.21189,6.241159,-10.62837,-6.804069E-05,0.0009466807,-0.007755248,-0.005022875,-0.007736699,-0.006479836,-1.734647,11.9684,0.3663757,0.9286937
Turn45Left,23,-1.736907,11.99904,5.656375,-10.34319,6.045713,-10.79414,-7.53363E-05,0.001021608,-0.006361977,-0.004376539,-0.006514851,-0.005525939,-1.736907,11.99904,0.3470277,0.9358744
Turn45Left,24,-1.739378,12.03202,5.469836,-10.51281,5.84365,-10.99303,-8.236567E-05,0.0010993,-0.006217988,-0.005654112,-0.006735436,-0.006629372,-1.739378,12.03202,0.3258406,0.9435688
Turn45Left,25,-1.742052,12.06742,5.349287,-10.64964,5.708082,-11.13892,-8.913676E-05,0.001179822,-0.004018291,-0.004561011,-0.004518938,-0.004863198,-1.742052,12.06742,0.3131016,0.9481038
Turn45Left,26,-1.744921,12.10531,5.24382,-10.78753,5.587349,-11.27496,-9.564558E-05,0.001263015,-0.003515577,-0.004596392,-0.004024442,-0.004534658,-1.744921,12.10531,0.3014371,0.9520152
Turn45Left,27,-1.747978,12.14467,5.056271,-11.00306,5.373473,-11.48918,-0.0001018882,0.00131197,-0.006251621,-0.007184251,-0.007129192,-0.0071407,-1.747978,12.14467,0.2829665,0.9583859
Turn45Left,28,-1.751214,12.18441,4.869417,-11.25112,5.145162,-11.70914,-0.0001078725,0.001324654,-0.006228479,-0.008268706,-0.007610369,-0.00733188,-1.751214,12.18441,0.2630903,0.9645987
Turn45Left,29,-1.754002,12.22452,4.748014,-11.41333,4.987129,-11.83078,-9.293159E-05,0.001337242,-0.004046758,-0.005406729,-0.005267763,-0.004054801,-1.754002,12.22452,0.2497579,0.9682521
Turn45Left,30,-1.755801,12.26501,4.559729,-11.59031,4.756718,-11.93736,-5.995035E-05,0.001349672,-0.006276162,-0.005899556,-0.007680369,-0.003552469,-1.755801,12.26501,0.2328571,0.9724885
Turn45Left,31,-1.756732,12.30587,4.442841,-11.70162,4.608429,-11.98391,-3.105402E-05,0.001362006,-0.003896284,-0.003710206,-0.004942974,-0.001551787,-1.756732,12.30587,0.2224166,0.974898
Turn45Left,32,-1.75692,12.3471,4.337929,-11.82005,4.469557,-12.02746,-6.242593E-06,0.001374213,-0.00349706,-0.003947799,-0.004629056,-0.001451651,-1.75692,12.3471,0.2128054,0.9770468
Turn45Left,33,-1.756485,12.38869,4.250412,-11.93553,4.349213,-12.05817,1.449188E-05,0.001386325,-0.002917226,-0.003849125,-0.004011488,-0.001023579,-1.756485,12.38869,0.2046524,0.978807
Turn45Left,34,-1.755551,12.43064,4.18022,-12.04727,4.236207,-12.04459,3.114144E-05,0.001398277,-0.002339729,-0.003724893,-0.003766839,0.0004524231,-1.755551,12.43064,0.1982059,0.9801346
Turn45Left,35,-1.754239,12.47294,4.129537,-12.1252,4.152596,-12.0201,4.371007E-05,0.001410135,-0.00168945,-0.002597682,-0.00278705,0.0008163452,-1.754239,12.47294,0.1941503,0.9809142
Turn45Left,36,-1.752674,12.5156,4.012873,-12.2203,3.99486,-11.96485,5.21938E-05,0.001421865,-0.003888782,-0.003170045,-0.005257853,0.001841831,-1.752674,12.5156,0.1850414,0.9825475
Turn45Left,37,-1.750976,12.5586,3.875602,-12.31469,3.833735,-11.93985,5.65966E-05,0.001433468,-0.00457569,-0.00314614,-0.005370847,0.0008333842,-1.750976,12.5586,0.1741077,0.984341
Turn45Left,38,-1.749268,12.60195,3.729392,-12.41001,3.669208,-11.91325,5.691449E-05,0.001444975,-0.004873689,-0.00317723,-0.005484223,0.0008866628,-1.749268,12.60195,0.1626094,0.9860203
Turn45Left,39,-1.747674,12.64564,3.581658,-12.51354,3.503452,-11.86852,5.315542E-05,0.001456356,-0.004924472,-0.003450998,-0.005525216,0.001490784,-1.747674,12.64564,0.1500721,0.9876153
Turn45Left,40,-1.746314,12.68967,3.451853,-12.6136,3.371058,-11.87765,4.530748E-05,0.001467641,-0.00432682,-0.00333538,-0.004413136,-0.0003041903,-1.746314,12.68967,0.1381831,0.9891642
Turn45Left,41,-1.745313,12.73403,3.284084,-12.74516,3.211401,-11.94407,3.338257E-05,0.001478736,-0.005592299,-0.004385567,-0.005321876,-0.002213923,-1.745313,12.73403,0.123531,0.9911197
Turn45Left,42,-1.743388,12.77873,3.175706,-12.85567,3.109589,-12.02512,6.417036E-05,0.001489766,-0.00361259,-0.003683503,-0.003393746,-0.002701791,-1.743388,12.77873,0.1134304,0.9923101
Turn45Left,43,-1.739496,12.82375,3.057673,-12.98312,3.007385,-12.16047,0.0001297315,0.00150067,-0.003934455,-0.004248206,-0.003406795,-0.004511547,-1.739496,12.82375,0.1029205,0.9937313
Turn45Left,44,-1.734118,12.86909,2.996453,-13.11746,2.957229,-12.31058,0.000179259,0.001511447,-0.002040657,-0.004478296,-0.001671886,-0.005003865,-1.734118,12.86909,0.09690507,0.994858
Turn45Left,45,-1.727735,12.91475,2.979053,-13.24783,2.94724,-12.47641,0.0002127568,0.001522096,-0.0005799929,-0.004345417,-0.0003329595,-0.00552756,-1.727735,12.91475,0.09573341,0.9953506
Turn45Left,46,-1.720829,12.96073,3.033391,-13.32313,3.002979,-12.60089,0.0002302209,0.00153265,0.001811266,-0.002510261,0.001857972,-0.004149373,-1.720829,12.96073,0.1001204,0.9949685
Turn45Left,47,-1.713879,13.00703,2.940274,-13.39209,2.921524,-12.74216,0.0002316594,0.001543077,-0.003103916,-0.002298355,-0.002715182,-0.004708767,-1.713879,13.00703,0.09446891,0.9954521
Turn45Left,48,-1.707367,13.05363,2.711184,-13.44844,2.715061,-12.88077,0.0002170642,0.001553377,-0.00763634,-0.001878611,-0.006882095,-0.00462052,-1.707367,13.05363,0.07910915,0.9968167
Turn45Left,49,-1.701774,13.10053,2.353837,-13.49784,2.395552,-13.0436,0.0001864394,0.001563549,-0.01191157,-0.001646392,-0.01065029,-0.005427774,-1.701774,13.10053,0.05418431,0.9985246
Turn45Left,50,-1.69758,13.14774,2.144009,-13.52542,2.210288,-13.16027,0.0001397808,0.001573594,-0.006994247,-0.0009194692,-0.006175463,-0.003888861,-1.69758,13.14774,0.0390193,0.9992384
Turn45Left,51,-1.695267,13.19525,1.935186,-13.52197,2.02216,-13.28829,7.709662E-05,0.001583576,-0.006960758,0.0001148224,-0.006270933,-0.004267375,-1.695267,13.19525,0.02413197,0.9997048
Turn45Left,52,-1.695316,13.24276,1.852989,-13.50742,1.949871,-13.37991,-1.62522E-06,0.001583799,-0.002739922,0.0004851977,-0.002409649,-0.003053856,-1.695316,13.24276,0.01801061,0.9998216
Turn45Left,53,-1.696798,13.29001,1.80995,-13.47114,1.913933,-13.45598,-4.940033E-05,0.001575057,-0.001434612,0.001209418,-0.001197918,-0.00253582,-1.696798,13.29001,0.01436913,0.9998355
Turn45Left,54,-1.698376,13.33704,1.763751,-13.37801,1.876976,-13.52214,-5.258322E-05,0.001567364,-0.001539981,0.003104146,-0.001231893,-0.002205372,-1.698376,13.33704,0.009996883,0.9996753
Turn45Left,55,-1.699915,13.38385,1.746863,-13.31085,1.864984,-13.58045,-5.132357E-05,0.001560656,-0.0005629142,0.002238782,-0.0003997366,-0.001943493,-1.699915,13.38385,0.007929247,0.9994028
Turn45Left,56,-1.701284,13.43051,1.715419,-13.23967,1.833342,-13.63393,-4.562934E-05,0.00155503,-0.001048148,0.002372456,-0.001054756,-0.001782894,-1.701284,13.43051,0.004434565,0.9989799
Turn45Left,57,-1.702349,13.47702,1.664632,-13.17482,1.776738,-13.69199,-3.549258E-05,0.001550388,-0.001692891,0.002161821,-0.001886785,-0.001935196,-1.702349,13.47702,-0.0002664488,0.9984818
Turn45Left,58,-1.702977,13.52342,1.594138,-13.09645,1.688527,-13.7553,-2.092918E-05,0.001546796,-0.002349802,0.002612241,-0.002940377,-0.002110481,-1.702977,13.52342,-0.005890463,0.997853
Turn45Left,59,-1.703034,13.56975,1.594941,-13.09155,1.672898,-13.83018,-1.915296E-06,0.001544221,2.676646E-05,0.0001635233,-0.0005209724,-0.002495798,-1.703034,13.56975,-0.00612929,0.9976914
Turn45Left,60,-1.702389,13.61603,1.724464,-13.08973,1.793142,-13.88935,2.152522E-05,0.001542664,0.004317419,6.055832E-05,0.00400815,-0.001972262,-1.702389,13.61603,0.002337479,0.997272
Turn45Left,61,-1.700907,13.66229,1.850423,-13.15189,1.91589,-13.96792,4.94043E-05,0.001542123,0.004198623,-0.002071921,0.004091581,-0.002619076,-1.700907,13.66229,0.01035036,0.9973993
Turn45Left,62,-1.698455,13.70857,1.921921,-13.2855,1.99526,-14.08801,8.172591E-05,0.001542632,0.002383288,-0.00445385,0.002645667,-0.004003048,-1.698455,13.70857,0.01602086,0.9984722
Turn45Left,63,-1.6949,13.75489,2.020102,-13.41654,2.112813,-14.18632,0.0001184781,0.001544126,0.003272696,-0.004368051,0.003918429,-0.003277048,-1.6949,13.75489,0.02485498,0.9990269
Turn45Left,64,-1.69011,13.8013,2.030802,-13.61032,2.131242,-14.30971,0.0001596769,0.001546733,0.0003566504,-0.006459014,0.0006143173,-0.004113039,-1.69011,13.8013,0.02550144,0.9996312
Turn45Left,65,-1.685139,13.8478,2.021492,-13.76925,2.126033,-14.39209,0.0001657168,0.001550261,-0.0003103097,-0.005297661,-0.0001736402,-0.002745883,-1.685139,13.8478,0.02587021,0.999593
Turn45Left,66,-1.681082,13.89445,2.143518,-13.8937,2.251795,-14.40656,0.000135227,0.001554871,0.004067532,-0.00414861,0.004192082,-0.0004823049,-1.681082,13.89445,0.03388743,0.9991868
Turn45Left,67,-1.677868,13.94127,2.322926,-13.97582,2.432695,-14.40339,0.0001071095,0.001560497,0.005980253,-0.002737077,0.006029987,0.0001055717,-1.677868,13.94127,0.04555486,0.9985422
